round,colony,treatment,dose,pristine/g,replicate,count,start_date,start_time,start_weight,end_date,end_time,end_weight,whole_dif,pristine_consumed,difference,percent_consumed,dose_consumed,id,pid,bees_alive,minmax
2,4.12R2,4,15000,0.000015,12,13,9/15/2022,9:45,0.90894,9/17/2022,11:30,0.80641,0.10253,1.54E-06,0.19701,0.112801725,1692.025876,475,R2.4.12-13,4,0.124332488
2,1.3R2,1,0,0,3,5,8/20/2022,14:50,1.15566,8/22/2022,11:00,1.04984,0.10582,0,0.19702,0.091566724,0,1094,R2.1.3-5,5,0.124338887
2,2.12R2,2,150,0.00000015,12,21,10/1/2022,11:45,0.97275,10/3/2022,9:40,0.87252,0.10023,1.50E-08,0.1977,0.103037779,15.45566692,985,R2.2.12-21,5,0.12477403
2,1.9R2,1,0,0,9,26,10/3/2022,9:30,1.16763,10/5/2022,10:00,1.07388,0.09375,0,0.19772,0.080290846,0,1031,R2.1.9-26,5,0.124786828
2,4.2R2,4,15000,0.000015,2,20,9/21/2022,10:30,1.1154,9/23/2022,10:00,0.99459,0.12081,1.81E-06,0.19833,0.10831092,1624.663798,388,R2.4.2-20,4,0.125177177
2,1.9R2,1,0,0,9,25,10/1/2022,11:45,1.10851,10/3/2022,9:40,1.01365,0.09486,0,0.19883,0.08557433,0,1030,R2.1.9-25,5,0.125497135
2,3.1R2,3,1500,0.0000015,1,4,8/16/2022,14:00,1.43303,8/18/2022,14:00,1.33803,0.095,1.43E-07,0.19905,0.066293099,99.43964886,670,R2.3.1-4,5,0.125637916
2,5.12R2,5,150000,0.00015,12,3,8/26/2022,10:30,1.20083,8/28/2022,13:40,1.08791,0.11292,0.000016938,0.1991,0.094034959,14105.24387,199,R2.5.12-3,5,0.125669912
2,3.9R2,3,1500,0.0000015,9,4,8/24/2022,12:00,1.22095,8/26/2022,11:00,1.12982,0.09113,1.37E-07,0.19985,0.074638601,111.9579016,507,R2.3.9-4,5,0.126149849
2,2.4R2,2,150,0.00000015,4,18,9/15/2022,9:45,1.42472,9/16/2022,10:30,1.32976,0.09496,1.42E-08,0.20009,0.066651693,9.997753945,839,R2.2.4-18,1,0.126303429
2,1.12R2,1,0,0,12,12,9/13/2022,12:30,1.33742,9/15/2022,11:00,1.22968,0.10774,0,0.20015,0.080558089,0,1230,R2.1.12-12,3,0.126341824
2,4.12R2,4,15000,0.000015,12,2,8/24/2022,12:00,1.08656,8/26/2022,11:00,0.98532,0.10124,1.52E-06,0.20064,0.09317479,1397.621852,464,R2.4.12-2,5,0.126655383
2,5.12R2,5,150000,0.00015,12,6,9/1/2022,10:30,1.048,9/3/2022,12:20,0.93512,0.11288,0.000016932,0.20066,0.107709924,16156.48855,202,R2.5.12-6,5,0.126668181
