"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.3",35,0.0924,0.0504,1,2.7287,0.0278,"83",0.0221,0.0057,0.0021,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.10",39,1.2211,0.036,1,2.5257,0.0134,"220",0.0101,0.0033,0.0013,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.6",38,1.2051,0.0495,1,2.4508,0.0243,"184",0.0172,0.0071,0.0029,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.11",39,1.137,0.0427,1,2.7135,0.0214,"221",0.0174,0.0041,0.0015,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.7",38,1.286,0.0449,1,2.3768,0.0197,"185",0.0107,0.009,0.0038,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.5",36,1.208,0.0493,1,2.5877,0.0223,"121",0.0175,0.0048,0.0018,5,TRUE,"B1",37
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.5",37,0.078,0.0338,1,2.3387,0.018,"348",0.0145,0.0036,0.0015,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.3",35,0.0795,0.0395,1,2.4046,0.0228,"323",0.0195,0.0033,0.0014,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.1",35,0.1238,0.031,1,2.3067,0.0172,"321",0.0142,0.003,0.0013,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.7",38,0.1242,0.0319,1,2.2951,0.018,"365",0.0145,0.0036,0.0016,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.2",35,0.0972,0.0378,1,2.3646,0.021,"322",0.0176,0.0033,0.0014,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.6",38,0.0799,0.0447,1,2.3349,0.0271,"364",0.0228,0.0044,0.0019,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.9",41,0.1147,0.0348,1,2.4357,0.0174,"393",0.0139,0.0036,0.0015,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.4",36,0.1243,0.0339,1,2.4352,0.0164,"338",0.0121,0.0043,0.0017,5,TRUE,"B1",47
"2.11R2",0.417827,35.9995816028,"2","2","11","2.11R2.8",40,1.1273,0.0428,1,2.7058,0.0212,"382",0.0167,0.0046,0.0017,5,TRUE,"B1",47
"2.12R2",0.40355680952381,35.6245293491905,"2","2","12","2.12R2.4",38,1.432,0.0461,1,2.7996,0.0225,"388",0.0155,0.007,0.0025,5,TRUE,"B1",44
